N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,TYPE,STATUT,DATE DE RETRAIT,MOTIF DE RETRAIT
2121,030/16 C 081/98,16 C 081,TEMAZEPAM,NORMISON,CAPS. MOLLES,10MG,B/20,Liste I,HOP,OFF,WYETH LEDERLE,FRANCE,1998-03-09 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2122,030/16 C 082/98,16 C 082,TEMAZEPAM,NORMISON,CAPS. MOLLES,20MG,B/10,Liste I,HOP,OFF,WYETH LEDERLE,FRANCE,1998-03-09 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2123,016/16 D 053/96,16 D 053,CHLORPROMAZINE,LARGACTIL,SOL.INJ.,25MG/5ML,B/5AMP DE 5ML,Liste I,HOP,OFF,RHONE POULENC RORER,FRANCE,1996-11-05 00:00:00,Ré,I,RETRAIT,RETRAIT APRES TRANSFERT DE DETENTEUR
2124,016/16 D 061/96,16 D 061,PIPOTIAZINE RETARD,PIPORTIL L4,SOL.INJ.,25MG/ML,B/3AMP.,Liste I,HOP,OFF,RHONE POULENC RORER,FRANCE,1996-11-10 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2125,160/16 D 066/99,16 D 066,SULPIRIDE,DARLETON,COMP.,50MG,B/24,Liste I,HOP,OFF,ANFARM HELLAS SA,GRECE,1999-04-06 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2126,193/16 D 066/99,16 D 066,SULPIRIDE,NEURID,GLES.,50MG,B/20,Liste I,HOP,OFF,GALENICA,MAROC,1999-01-03 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2127,285/16 D 066/07,16 D 066,SULPIRIDE,SYNEDIL Gé,GLES.,50MG,B/30,Liste I,HOP,OFF,UNION PHARMACEUTIQUE CONSTANTINOISE (UPC),ALGERIE,2007-12-04 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2128,373/16 D 066/07,16 D 066,SULPIRIDE,SULPYRID-HISPAL,GLES.,50MG,B/30,Liste I,HOP,OFF,HISPAL PHARMA SPA,ALGERIE,2007-05-12 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
2129,026/16 D 066/99,16 D 066,SULPIRIDE,SULPIRED,GLES.,50MG,B/30,Liste I,HOP,OFF,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,1999-01-27 00:00:00,Gé,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2130,193/16 D 067/99,16 D 067,SULPIRIDE,NEURID,SOL.BUV.,25MG/5ML,FL/180 ML,Liste I,HOP,OFF,GALENICA,MAROC,1999-01-03 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2131,013/16 D 070/99,16 D 070,THIORIDAZINE,NARIZIN,DRG.,10MG,B/25,Liste I,HOP,OFF,NOVA ARGENTIA,ITALIE,1999-11-16 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2132,013/16 D 071/98,16 D 071,THIORIDAZINE,NARIZIN,DRG.,50MG,B/25,Liste I,HOP,OFF,NOVA ARGENTIA,ITALIE,1998-08-16 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2133,013/16 D 072/98,16 D 072,THIORIDAZINE,NARIZIN,DRG.,100MG,B/25,Liste I,HOP,OFF,NOVA ARGENTIA,ITALIE,1998-08-16 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2134,016/16 D 075/96,16 D 075,TRIFLUOPERAZINE,TERFLUZINE,COMP.PELLI.SEC.,10MG,B/20,Liste I,HOP,OFF,RHONE POULENC RORER,FRANCE,1996-12-14 00:00:00,Ré,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR DANS LE PAYS D'ORIGINE
2135,016/16 D 076/96,16 D 076,TRIFLUOPERAZINE,TERFLUZINE,SOL.BUV.GTTES.,0.04,FL/30ML,Liste I,HOP,OFF,RHONE POULENC RORER,FRANCE,1996-11-10 00:00:00,Ré,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR DANS LE PAYS D'ORIGINE
2136,052/16 D 081/98,16 D 081,FLUPHENAZINE DICHLORHYDRATE,MODITEN,COMP.ENRO.,25MG,B/30,Liste I,HOP,OFF,SANOFI WINTHROP,FRANCE,1998-12-30 00:00:00,Ré,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2137,052/16 D 082/98,16 D 082,FLUPHENAZINE DICHLORHYDRATE,MODITEN,COMP.SEC.,100MG,B/15,Liste I,HOP,OFF,SANOFI WINTHROP,FRANCE,1998-12-31 00:00:00,Ré,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2138,052/16 D 083/98,16 D 083,FLUPHENAZINE DECANOATE,MODECATE,SOL.INJ.,25MG/ML,B/3AMP.,Liste I,HOP,OFF,SANOFI WINTHROP,FRANCE,1998-12-30 00:00:00,Ré,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2139,090/16 D 084/98,16 D 084,HALOPERIDOL,WERAPIDOL 5,SOL.INJ.,5MG/ML,B/10,Liste I,HOP,OFF,WEIMER PHARMA,ALLEMAGNE,1998-08-09 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
2140,095/16 D 085/98,16 D 085,HALOPERIDOL,HALDOL,SOL.BUV.GTTES.,2MG/ML,FL/15ML,Liste I,HOP,OFF,JANSSEN CILAG,FRANCE,1998-04-20 00:00:00,Ré,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2141,229/16 D 085/02,16 D 085,HALOPERIDOL,HALOPERIDOL,SOL.BUV.GTTES.,2MG/ML,FL/15ML,Liste I,HOP,OFF,PHARMA 5,MAROC,2002-05-14 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2142,090/16 D 085/98,16 D 085,HALOPERIDOL,WERAPIDOL 2,SOL.BUV.GTTES.,2MG/ML,FL/30ML,Liste I,HOP,OFF,WEIMER PHARMA,ALLEMAGNE,1998-08-09 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2143,010/16 D 085/96,16 D 085,HALOPERIDOL,DISTENSOL,SOL.BUV.GTTES.,2MG/ML,FL/15 ML,Liste I,HOP,OFF,LIFEPHARMA,ITALIE,1996-10-13 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2144,010/16 D 086/99,16 D 086,HALOPERIDOL,DISTENSOL,COMP.,1MG,B/40,Liste I,HOP,OFF,LIFEPHARMA,ITALIE,1999-12-08 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2145,026/16 D 088/99,16 D 088,SULPIRIDE,SULPIRIDE,COMP.,200MG,B/12,Liste I,HOP,OFF,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,1999-01-31 00:00:00,Gé,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2146,095/16 D 089/04,16 D 089,RISPERIDONE,RISPERDAL,COMP PELLI. SEC.,1MG,B/60,Liste I,HOP,OFF,JANSSEN CILAG,FRANCE,2004-03-06 00:00:00,Ré,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2147,149/16 D 089/16,16 D 089,RISPERIDONE,RISPEED,COMP PELL SEC,1MG,B/30,Liste I,HOP,OFF,NOVAPHARM TRADING SARL,ALGERIE,2016-01-17 00:00:00,Gé,F,2021-08-25 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2148,321/16 D 089/08,16 D 089,RISPERIDONE,RISPERONE,COMP.,1MG,B/60,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2008-05-31 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2149,095/16 D 090/04,16 D 090,RISPERIDONE,RISPERDAL,COMP PELLI. SEC.,2MG,B/60,Liste I,HOP,OFF,JANSSEN CILAG,FRANCE,2004-03-06 00:00:00,Ré,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2150,149/16 D 090/16,16 D 090,RISPERIDONE,RISPEED,COMP PELL SEC,2MG,B/30,Liste I,HOP,OFF,NOVAPHARM TRADING SARL,ALGERIE,2016-01-17 00:00:00,Gé,F,2021-08-25 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2151,321/16 D 090/08,16 D 090,RISPERIDONE,RISPERONE,COMP.,2MG,B/60,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2008-05-31 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2152,095/16 D 091/04,16 D 091,RISPERIDONE,RISPERDAL,COMP PELL SEC.,4MG,B/30,Liste I,HOP,OFF,JANSSEN CILAG,FRANCE,2004-03-06 00:00:00,Ré,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2153,321/16 D 091/08,16 D 091,RISPERIDONE,RISPERONE,COMP.,4MG,B/30,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2008-06-04 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2154,149/16 D 091/16,16 D 091,RISPERIDONE,RISPEED,COMP PELL SEC,4MG,B/30,Liste I,HOP,OFF,NOVAPHARM TRADING SARL,ALGERIE,2016-01-17 00:00:00,Gé,F,2021-08-25 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2155,095/16 D 092/06,16 D 092,RISPERIDONE,RISPERDAL,SOL.BUV.,1MG/ML,FL./60ML,Liste I,HOP,OFF,JANSSEN CILAG,FRANCE,2006-07-31 00:00:00,Ré,I,2019-03-11 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL (interdiction d'importation)
2156,034/16 D 099/99/09,16 D 099,OLANZAPINE,ZYPREXA,COMP. ENRO.,5MG,B/28,Liste I,HOP,OFF,ELI LILLY NEDERLAND B.V.,PAYS BAS,1999-02-10 00:00:00,Ré,F,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2157,321/16 D 099/08,16 D 099,OLANZAPINE,ANZAPINE,COMP. ENRO.,5MG,B/30,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2008-04-27 00:00:00,Gé,F,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2158,149/16 D 100/16,16 D 100,OLANZAPINE,NOVAPREXA,COMPRIME PELLICULE,10MG,B/30,Liste I,HOP,OFF,NOVAPHARM TRADING SARL,ALGERIE,2016-02-04 00:00:00,Gé,F,2021-08-25 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2159,321/16 D 100/05,16 D 100,OLANZAPINE,ANZAPINE,COMP.,10MG,B/7 ET B/28,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2005-12-11 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2160,034/16 D 100/99/08,16 D 100,OLANZAPINE,ZYPREXA,COMP. ENRO.,10MG,B/28,Liste I,HOP,OFF,ELI LILLY NEDERLAND B.V.,PAYS BAS,1999-02-10 00:00:00,Ré,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2161,177/16 D 100/07,16 D 100,OLANZAPINE,REXAPIN,COMP. PELLI.,10MG,B/07,Liste I,HOP,OFF,ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S,TURQUIE,2008-02-23 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2162,311/16 D 100/10,16 D 100,OLANZAPINE,ZAPINAL,COMP. PELLI.,10MG,B/30,Liste I,HOP,OFF,LABORATOIRE GROUPEMENT PHARMACEUTIQUE ALGERIEN (LGPA),ALGERIE,2010-02-08 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2163,286/16 D 100/07/14,16 D 100,OLANZAPINE,PSYCHOLANZ,COMP. PELLI.SEC.,10MG,B/07,Liste I,HOP,OFF,CHIMIE PHARMACIE COMMERCE MULTIPLE SARL (CPCM),ALGERIE,2007-04-30 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2164,050/16 D 100/11/17,16 D 100,OLANZAPINE,OLZANID,COMP.ENRO.,10MG,B/30,LISTE I,HOP,OFF,SANDOZ SPA,ALGERIE,2011-11-27 00:00:00,Gé,F,2022-01-25 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2165,034/16 D 101/06,16 D 101,OLANZAPINE,ZYPREXA VELOTAB,COMP. ORODISPERS.,10MG,B/28,Liste I,HOP,OFF,ELI LILLY NEDERLAND B.V.,PAYS BAS,2006-07-26 00:00:00,Ré,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2166,149/16 D 101/15,16 D 101,OLANZAPINE,NOVAPREXA,COMP . ORODISPERS.,10mg,B/30,Liste I,HOP,OFF,NOVAPHARM TRADING SARL,ALGERIE,2015-12-02 00:00:00,Gé,F,2021-08-25 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2167,321/16 D 101/08,16 D 101,OLANZAPINE,ANZAPINE-ORO,COMP. ORODISPERS.,10MG,B/30,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2008-04-08 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2168,095/16 D 119/08,16 D 119,RISPERIDONE,RISPERDAL CONSTA LP 25MG/2ML,PDRE. ET SOLV.SUSP. INJ. L.P.,"12,5MG/ML",B/1FL. PDRE. + 1SERING. PRE REMPLIE DE 2ML . DE SOLV.,Liste I,HOP,OFF,JANSSEN CILAG,FRANCE,2008-05-31 00:00:00,Ré,I,2018-06-06 00:00:00,RETRAIT PAR LE DETENTEUR a cause d'une variation dans le pays d'origine introduisant un dispositif d'origine israélienne
2169,095/16 D 120/08,16 D 120,RISPERIDONE,"RISPERDAL CONSTA LP 37,5MG/2ML",PDRE. ET SOLV.SUSP. INJ. L.P.,"18,75MG/ML",B/1FL. PDRE. + 1SERING. PRE REMPLIE DE 2ML . DE SOLV.,Liste I,HOP,OFF,JANSSEN CILAG,FRANCE,2008-05-31 00:00:00,Ré,I,2018-06-06 00:00:00,RETRAIT PAR LE DETENTEUR a cause d'une variation dans le pays d'origine introduisant un dispositif d'origine israélienne
2170,095/16 D 121/08,16 D 121,RISPERIDONE,RISPERDAL CONSTA LP 50MG/2ML,PDRE. ET SOLV.SUSP. INJ. L.P.,25MG/ML,B/1FL. PDRE. + 1SERING. PRE REMPLIE DE 2ML . DE SOLV.,Liste I,HOP,OFF,JANSSEN CILAG,FRANCE,2008-05-31 00:00:00,Ré,I,2018-06-06 00:00:00,RETRAIT PAR LE DETENTEUR a cause d'une variation dans le pays d'origine introduisant un dispositif d'origine israélienne
2171,095/16 D 141/09,16 D 141,RISPERIDONE,RISPERDALORO,COMP. ORODISPERS.,"0,5MG",B/28,Liste I,HOP,OFF,JANSSEN-CILAG,France,2009-07-19 00:00:00,Ré,I,ABROGATION,ARRET DE COMMERCIALISATION PAR LE DETENTEUR
2172,095/16 D 142/09,16 D 142,RISPERIDONE,RISPERDALORO,COMP. ORODISPERS.,1MG,B/28,Liste I,HOP,OFF,JANSSEN-CILAG,FRANCE,2009-07-19 00:00:00,Ré,I,ABROGATION,ARRET DE COMMERCIALISATION PAR LE DETENTEUR
2173,095/16 D 143/09,16 D 143,RISPERIDONE,RISPERDALORO,COMP. ORODISPERS.,2MG,B/28,Liste I,HOP,OFF,JANSSEN-CILAG,France,2009-07-19 00:00:00,Ré,I,ABROGATION,ARRET DE COMMERCIALISATION PAR LE DETENTEUR
2174,095/16 D 144/09,16 D 144,RISPERIDONE,RISPERDALORO,COMP. ORODISPERS.,3MG,B/28,Liste I,HOP,OFF,JANSSEN-CILAG,FRANCE,2009-07-19 00:00:00,Ré,I,ABROGATION,ARRET DE COMMERCIALISATION PAR LE DETENTEUR
2175,095/16 D 145/09,16 D 145,RISPERIDONE,RISPERDALORO,COMP. ORODISPERS.,4MG,B/28,Liste I,HOP,OFF,JANSSEN-CILAG,FRANCE,2009-07-19 00:00:00,Ré,I,ABROGATION,ARRET DE COMMERCIALISATION PAR LE DETENTEUR
2176,034/16 D 155/12,16 D 155,OLANZAPINE,ZYPREXA VELOTAB,COMP. ORODISPERS.,5MG,B/28,Liste I,HOP,OFF,ELI LILLY NEDERLAND BV,PAYS BAS,2012-11-08 00:00:00,Ré,I,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
2177,016/16 E 077/96,16 E 077,LITHIUM CARBONATE,THERALITHE,COMP.SEC.,250MG,B/100,Liste II,HOP,OFF,RHONE POULENC RORER,FRANCE,1996-11-13 00:00:00,Ré,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2178,099/16 F 116/09/16,16 F 116,NICOTINE,NICOPATCH,DISPOSITIF TRANSDERMIQUE,"17,5MG/DISPOSITIF DE 10CM2 (27MG/24H)",B/07,,HOP,OFF,PIERRE FABRE MEDICAMENT,FRANCE,2009-05-11 00:00:00,Ré,I,2019-07-14 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL DANS LE PAYS D'ORIGINE
2179,099/16 F 117/09,16 F 117,NICOTINE,NICOPATCH,DISPOSITIF TRANSDERMIQUE,35MG/DISPOSITIF DE 20CM2 (14MG/24H),B/07,,HOP,OFF,PIERRE FABRE MEDICAMENT,FRANCE,2009-05-11 00:00:00,Ré,I,2019-07-14 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL DANS LE PAYS D'ORIGINE
2180,099/16 F 118/09/16,16 F 118,NICOTINE,NICOPATCH,DISPOSITIF TRANSDERMIQUE,"52,5MG/DISPOSITIF DE 30CM2 (21MG/24H)",B/07,,HOP,OFF,PIERRE FABRE MEDICAMENT,FRANCE,2009-05-11 00:00:00,Ré,I,2019-07-14 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL DANS LE PAYS D'ORIGINE
2181,024/17 A 001/99,17 A 001,OXYBUPROCAINE,NOVESINE,COLLY.,"0,4%",FL/10ML,Liste I,HOP,OFF,MERCK SHARP & DHOME CHIBRET,FRANCE,1999-01-16 00:00:00,Ré,I,2005-03-22 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2182,190/17 B 003/98,17 B 003,CROMOGLYCATE DE SODIUM,VISACROM,COLLY.,0.02,FL/8ML,Liste II,HOP,OFF,SAUDI PHARMACEUTICAL INDUSTRIES & MEDICAL APPLIANCES COORPORATION (SPIMACO),ARABIE SAOUDITE,1998-11-29 00:00:00,Gé,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2183,096/17 B 003/98,17 B 003,CROMOGLYCATE DE SODIUM,CROMOGLYCATE CHAUVIN 2%,COLLY.,0.02,FL/5ML,Liste II,HOP,OFF,CHAUVIN,FRANCE,1998-04-27 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2184,032/17 B 003/96,17 B 003,CROMOGLYCATE DE SODIUM,CUSICROM 2%,COLLY.,0.02,FL/30ML,Liste II,HOP,OFF,CUSI,ESPAGNE,1996-12-25 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2185,202/17 B 003/99,17 B 003,CROMOGLYCATE DE SODIUM,OPTICRON,COLLY.,0.02,FL/10ML,Liste II,HOP,OFF,FISONS,ANGLETERRE,1999-03-22 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2186,024/17 C 004/99,17 C 004,ACECLIDINE/ACIDE BORIQUE /BORATE DE SODIUM,GLAUCOSTAT,COLLY.,0.02,FL/10ML,Liste I,HOP,OFF,MERCK SHARP & DHOME CHIBRET,FRANCE,1999-01-13 00:00:00,Ré,I,2005-03-22 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2187,024/17 C 005/99,17 C 005,ACECLIDINE/ADRENALINE,GLAUCADRINE,COLLY.,2%/1%,FL/10ML,Liste I,HOP,OFF,MERCK SHARP & DHOME CHIBRET,FRANCE,1999-01-13 00:00:00,Ré,I,2005-03-22 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2188,022/17 C 009/98,17 C 009,PILOCARPINE,PILOCARPINE,COLLY.,0.01,FL/15ML,Liste I,HOP,OFF,CIBA VISION,FRANCE,1998-12-13 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
2189,028/17 C 009/97,17 C 009,PILOCARPINE,ISOPTO-PILOCARPINE,COLLY.,0.01,FL/10ML,Liste I,HOP,OFF,ALCON,FRANCE,1997-04-09 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2190,022/17 C 010/98,17 C 010,PILOCARPINE,PILOCARPINE,COLLY.,0.02,FL/15ML,Liste I,HOP,OFF,CIBA VISION,FRANCE,1998-12-13 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
2191,028/17 C 010/97,17 C 010,PILOCARPINE,ISOPTO-PILOCARPINE,COLLY.,0.02,FL/10ML,Liste I,HOP,OFF,ALCON,FRANCE,1997-05-11 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2192,096/17 C 010/98,17 C 010,PILOCARPINE,PILO 2,COLLY. EN SOL.,0.02,FL/10ML,Liste I,HOP,OFF,CHAUVIN,FRANCE,1998-04-27 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2193,032/17 C 012/96,17 C 012,TIMOLOL,CUSIMOLOL,COLLY.,0.0025,FL/5ML,Liste I,HOP,OFF,CUSI,ESPAGNE,1996-12-25 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2194,028/17 C 012/98,17 C 012,TIMOLOL,TIMOLOL ALCON,COLLY.,0.0025,FL/5 ML,Liste I,HOP,OFF,ALCON,FRANCE,2001-01-24 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2195,032/17 C 013/96,17 C 013,TIMOLOL,CUSIMOLOL,COLLY.,0.005,FL/5 ML,Liste I,HOP,OFF,CUSI,ESPAGNE,1996-12-25 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2196,068/17 C 013/96,17 C 013,TIMOLOL,NYOLOL,COLLY.,0.005,FL/3ML,Liste I,HOP,OFF,NOVARTIS PHARMA S.A.,FRANCE,1996-12-07 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2197,096/17 C 013/98,17 C 013,TIMOLOL (SOUS FORME DE MALEATE),TIMOLOL,COLLY.,0.005,FL/3ML,Liste I,HOP,OFF,CHAUVIN,FRANCE,1998-04-27 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2198,096/17 C 107/99,17 C 107,CARTEOLOL (CHLORHYDRATE) / PILOCARPINE,CARPILO,COLLY.,2% / 2%,FL/3ML+EMBOUT COMPTE GTTES.,Liste I,HOP,OFF,CHAUVIN,FRANCE,1999-05-04 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
2199,530/17 C 121/00/17,17 C 121,DORZOLAMIDE CHLORHYDRATE (DORZOLAMIDE),TRUSOPT,COLLYRE SOLUTION,2% (20MG/ML),FL./5ML,LISTE I,HOP,OFF,MUNDI PHARMA PTY LTD,ALGERIE,2007-05-11 00:00:00,Gé,F,2023-01-07 00:00:00,retrait par le laboratoire pour raisons commerciales
2200,530/17 C 141/06/17,17 C 141,DORZOLAMIDE CHLORHYDRATE (DORZOLAMIDE) / TIMOLOL MALEATE (TIMOLOL),COSOPT,COLLYRE SOLUTION,20MG/5MG/ML,FL./5ML,LISTE I,HOP,OFF,MUNDI PHARMA PTY LTD,AUSTRALIE,2006-07-23 00:00:00,Ré,I,2023-01-07 00:00:00,retrait par le laboratoire pour raisons commerciales
2201,022/17 D 014/99,17 D 014,BACITRACINE,BACITRACINE MARTINET,COLLY.,500UI/ML,B/1FL. PDRE. + 1AMP.SOLV.10ML,,HOP,OFF,CIBA VISION ophtalmics,FRANCE,1999-01-16 00:00:00,Ré,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
2202,014/17 D 015/97,17 D 015,CHLORAMPHENICOL,SIFICETINA,COLLY.,0.004,FL/5ML,Liste I,HOP,OFF,S I F I,ITALIE,1997-11-09 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
2203,096/17 D 016/99,17 D 016,CHLORAMPHENICOL,CEBENICOL,PDE.OPHT.,0.01,T/5G,Liste I,HOP,OFF,CHAUVIN,FRANCE,1999-02-07 00:00:00,Ré,I,00/12/2005,RETRAIT PAR LE DETENTEUR POUR MOTIF DE PHARMACO-VIGILANCE
2204,032/17 D 016/96,17 D 016,CHLORAMPHENICOL,OFTALMOSA CUSI CHLORAMPHENICOL,PDE.OPHT.,0.01,T/3G,Liste I,HOP,OFF,CUSI,ESPAGNE,1996-12-25 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
2205,170/17 D 016/99,17 D 016,CHLORAMPHENICOL,CHLORAMPHENICOL,PDE.OPHT.,0.01,T/5G,Liste I,HOP,OFF,KRKA,SLOVENIE,1999-06-22 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR ARRET DE LA COOPERATION
